A,B,C,D
6.7656154e-14,663110.06,0.7479309,1.030873e-9
4.5450382e-10,662946.0,232.1796,6.933618e-9
10.947009,39231.914,19999.66,1.9705447e-5
6.768403,41451.508,19999.998,2.2929922e-10
187.27792,999991.3,0.0044168383,0.002315174
1.5269331,42317.977,20000.0,0.0
98.1718,1.0e6,4.681938e-6,4.189045e-6
204.40941,1.0e6,563.00745,1.06539865e-7
4.5448206e-10,668653.75,231.96358,6.989335e-9
6.7656154e-14,663110.06,0.7479309,1.030873e-9
6.77579e-14,663112.7,0.74850035,1.0316419e-9
1.5230041e-13,668585.44,35.88853,2.673751e-11
13.711323,111095.76,20000.0,8.352261e-16
1.6532446e-13,665516.5,40.712566,6.4005176e-11
6.7886736e-14,663115.75,0.7492243,1.0326091e-9
63.072414,999896.94,0.014328942,0.008889312
217.61539,980541.06,6.545077,115.11399
8.605025,35078.2,20000.0,5.0348324e-5
7.601615,28224.443,6964.129,2.7682205e-22
1.7749472,114790.5,20000.0,1.3643535e-24
4.5323615,225287.33,19999.998,4.85983e-7
1.5978525,96919.46,20000.0,2.4894538e-18
4.5743948e-10,663001.25,232.93636,6.9562085e-9
