A,B,C,D
6.849364e-14,663143.1,24.368734,3.236921e-11
6.849364e-14,663143.1,24.368734,3.236921e-11
6.849364e-14,663143.1,24.368734,3.236921e-11
3.531557,114232.65,20000.0,9.447983e-12
878.62,1.0e6,1.1885503e-12,4.0068925e-13
24.019815,244945.72,20000.0,5.2758774e-13
25.381163,299120.88,19999.732,0.403965
24.901875,336255.66,20000.0,0.00035851265
28.306591,107166.35,19707.893,0.046703156
91.831406,1.0e6,6.0560126e-9,5.161377e-9
885.4355,683798.5,0.0,0.0
13.688562,38381.473,20000.0,0.0
76.52279,55938.953,4555.2163,42.97748
7.520841,27115.76,20000.0,1.5915176e-14
383.0999,147239.34,136.22115,3.1793856e-10
19.746208,0.005727943,2376.5298,0.0
375.08755,344887.2,24.159107,0.0
223.72594,999988.7,12754.06,0.00013940006
16.151827,324447.06,19999.99,1.17061035e-7
510.76053,999999.06,0.0013637493,0.0007597481
57.497543,34785.625,2.0879109e-21,3.5056524e-19
493.88773,12761.857,0.07826241,0.03310519
19.248844,244863.83,20000.0,1.494211e-7
