A,B,C,D
6.9325906e-14,653386.8,0.7434371,1.0489768e-9
0.0,60504.89,9027.656,16.792994
5.471585,44771.695,19999.873,1.7343575e-5
4.6573e-10,661528.75,235.1278,7.0033437e-9
6.9325906e-14,653386.8,0.7434371,1.0489768e-9
9.6211315e-14,661585.56,41.418434,2.8499888e-11
4.65724e-10,662980.7,234.97516,7.020569e-9
0.76625305,42573.152,20000.0,0.0
9.621116e-14,664367.2,41.587612,2.848661e-11
6.9325906e-14,653386.8,0.7434371,1.0489768e-9
1.7745334,114748.766,20000.0,1.0301477e-15
2.420249,244507.16,20000.0,1.5896962e-10
8.094233,39690.613,19999.99,5.251616e-10
2.2820897,42057.797,19997.93,2.178339e-5
4.662805e-10,668434.2,234.75966,7.0834556e-9
2.741765,255854.36,17973.63,0.178701
3.7678611,100725.44,20000.0,1.868922e-14
2.4202504,244507.36,20000.0,0.0
10.250446,39450.008,20000.0,2.1229055e-11
9.647827e-14,661790.25,41.49665,2.8533306e-11
1.9734546,36929.293,20000.0,2.3461929e-11
1.0302756,757.433,10152.657,0.0
1.9734622,36929.668,20000.0,1.2211104e-11
