A,B,C,D
6.891686e-14,663106.44,0.754867,1.0404319e-9
6.891686e-14,663106.44,0.754867,1.0404319e-9
26.438639,30603.258,20000.0,0.00019276168
9.553142,39700.105,19999.707,8.693042e-11
6.7513843,35581.605,20000.0,5.7973938e-15
4.5151777,41310.426,19999.021,2.1194463e-5
190.3676,975283.75,3882.6963,0.39578858
21.889723,43136.863,20000.0,0.0
3.0314565,41801.652,20000.0,1.7634366e-11
4.6296686e-10,665221.9,234.13156,7.023805e-9
2.0670047,7548.492,2099.5244,0.00015175728
4.6323784e-10,661845.5,234.6037,6.984202e-9
4.865843,36107.434,20000.0,8.953701e-19
3.8279898,206655.98,20000.0,6.3017993
2.4832587,49901.727,19246.307,1.1158596
8.845045,39897.57,19999.553,2.0449661e-5
4.6373896e-10,662679.8,234.49382,7.002353e-9
21.221125,670281.6,20000.0,1.4847764e-13
5.9778323,40826.465,20000.0,5.5119177e-11
2.4202495,244507.16,20000.0,7.132675e-13
6.836425e-14,653385.56,23.91776,3.2488994e-11
7.248544,244610.05,20000.0,0.0
1.218052,0.05894981,19999.996,2.2737268e-8
