A,B,C,D
1.0859795e-13,679600.3,8.408093e-11,15.069964
1.0859795e-13,679600.3,8.408093e-11,15.069964
2.468609e-13,679592.3,17.0193,9.188667e-11
1.8997729e-13,679521.7,65.07204,8.3284726e-11
41.918026,1.672423e-39,10548.177,9.4704385e-30
34.0919,3587.255,20000.0,6.7499836e-18
341.90994,1.0e6,6033.6475,3.608853e-7
337.73102,907085.94,20000.0,0.00057572505
65.421715,25758.75,20000.0,0.00022523373
17.026014,37383.535,20000.0,5.2472e-40
21.352175,54675.836,20000.0,0.0
28.295723,47282.047,20000.0,0.0
121.98414,118058.96,20000.0,0.00012252711
1378.3228,1.0e6,2078.7996,0.002936582
113.96724,20887.207,20000.0,5.7478255e-23
419.06366,3775.5845,0.0,0.0
58.131992,24467.742,20000.0,0.00020146879
82.6813,24030.746,20000.0,0.00040810765
32.602543,29230.658,20000.0,2.3755839e-14
33.12068,33211.465,20000.0,0.0
38.19626,31849.797,20000.0,0.0
21.545725,36084.15,20000.0,2.569706e-8
42.394894,102192.016,20000.0,9.732515e-8
