A,B,C,D
6.330156e-14,653359.6,22.993202,3.1278688e-11
6.330156e-14,653359.6,22.993202,3.1278688e-11
5.1354094,249261.88,18948.45,0.15308519
20.7333,23127.281,17635.936,1.061e-42
2.946406,36651.973,20000.0,1.8606494e-5
4.51499,41308.4,20000.0,2.9227198e-32
6.7516346,35583.156,20000.0,2.8583808e-20
2.1669326,126037.46,16836.158,0.06134812
62.950863,932029.0,11.923416,7.36129
6.330156e-14,653359.6,22.993202,3.1278688e-11
2.4202533,244506.92,20000.0,6.831007e-16
1.7987977,58171.344,20000.0,1.163195e-21
3.0317395,41804.88,19998.588,2.0042411e-5
2.1443064,16436.873,19924.066,0.026686797
4.3194953e-10,669168.94,226.589,6.804702e-9
1.5268112,42312.176,20000.0,1.14e-43
8.205694,330694.97,19999.984,1.1235187e-7
91.355286,999791.0,275.5259,0.0033927376
11.327209,34341.266,20000.0,6.2218004e-24
6.57038e-13,663075.44,0.083906285,9.184282e-9
8.9628046e-14,663046.2,40.033974,2.750654e-11
4.3429382e-10,661266.25,227.13,6.7583312e-9
2.4202428,244505.69,20000.0,1.7442201e-37
