A,B,C,D
6.978427e-14,665273.44,24.713932,3.2614387e-11
24.330273,264749.44,450.55176,446.83646
13.537309,128142.98,19320.27,0.120887324
8.144963,90111.984,20000.0,4.3285195e-11
3.9105515,36379.504,20000.0,9.854844e-15
2.4202595,244508.67,20000.0,4.233764e-13
7.1820826e-13,659053.0,0.08567959,9.779361e-9
7.685319,35367.51,20000.0,1.2425371e-22
4.7376775e-10,661372.25,237.05365,7.064953e-9
4.7376775e-10,661372.25,237.05365,7.064953e-9
62.93907,927166.3,13.019541,8.034098
52.56362,210101.52,333.69186,0.0
516.4602,1.0e6,0.0,0.0012067338
4.1357393,333874.88,20000.0,9.660508e-6
109.75568,1.0e6,1205.5442,1.7684247e-8
96.3397,14550.748,2.5921502e-14,3.31524e-17
2.4202454,244507.08,20000.0,1.8021372e-5
24.228941,41497.805,6969.441,0.0
8.487635,43870.89,20000.0,1.3393765e-18
7.582225,247892.56,19187.91,0.16493343
31.618822,999668.6,0.026634885,0.015122893
2.51151,256166.47,20000.0,0.0008492362
3.7757711,41553.85,20000.0,7.825116e-9
