A,B,C,D
6.7592226e-14,663053.44,24.198175,3.2162155e-11
6.7592226e-14,663053.44,24.198175,3.2162155e-11
4.5876875e-10,668186.75,232.85983,7.024028e-9
14.856719,33417.38,20000.0,5.2582777e-10
2.9464684,36653.004,20000.0,0.0
5.2485733,41060.26,20000.0,2.6184944e-5
330.63547,1.0e6,1005.7377,0.00023778756
258.7581,1.0e6,3691.8013,0.0006337703
1.5339688e-13,665469.5,35.87874,2.6830479e-11
1.5578916e-13,662968.94,1.9689431,4.8729376e-10
62.94295,928738.8,12.660563,7.81383
1.5359312e-13,663132.6,35.80053,2.6842173e-11
6.450722,31440.9,20000.0,1.8819687e-8
204.16603,1.0e6,3134.418,4.776138e-13
0.99143934,37215.35,20000.0,3.3463204e-12
4.6028076e-10,661626.6,233.80457,6.9614225e-9
9.519321,34824.484,20000.0,2.195365e-23
1.9737384,36936.027,19997.814,2.0685056e-5
7.6820316,35325.79,19999.797,1.6842869e-5
4.6113366e-10,662967.6,233.8333,6.985196e-9
6.796654e-14,663132.06,24.271393,3.2247077e-11
9.740501,40229.164,19601.541,0.020621007
4.6173057e-10,665112.9,233.79703,7.0141164e-9
