A,B,C,D
7.168952e-14,653398.3,0.75602895,1.0666967e-9
12.211817,327592.03,19999.988,1.2230342e-7
3.72619e-13,4.737927e-9,9870.047,52.655884
14.363953,38179.28,20000.0,1.1830981e-11
318.89636,1.0e6,546.44574,2.442927e-12
109.538994,1.0e6,4.329925e-15,4.419575e-15
49.954453,1.0e6,0.0,3.9476772e-38
7.301736e-13,676534.06,0.095819406,9.095389e-9
31.517126,857814.9,19.54247,11.01428
2.3883377e-13,662945.7,85.95168,2.5061382e-11
9.173437,380865.16,20000.0,7.791899e-5
244.53484,547767.2,7.9817966e-8,3.2570464e-9
11.326155,34337.348,20000.0,1.0973695e-26
5.461418e-7,0.0,5179.589,16.89153
5.3810062,117462.22,20000.0,0.0037466642
119.72099,199240.77,13.104021,214.99895
62.106697,829110.75,99.85356,8.493295
6.744727e-33,39568.363,8523.477,15.470242
13.667069,216023.64,20000.0,7.43216e-5
31.4973,662838.5,13.617537,14.519655
317.95688,1.0e6,0.0,5.5510926e-17
0.9914226,37215.42,20000.0,0.0
1.5978389,96918.57,20000.0,5.4717713e-19
