A,B,C,D
6.490425e-14,663063.06,23.701658,3.1523624e-11
2.2821882,42061.34,19998.016,2.0891619e-5
7.249363,244632.8,19999.184,0.0001458531
3.8103886,126030.555,20000.0,8.103105
6.490425e-14,663063.06,23.701658,3.1523624e-11
4.4045084e-10,661607.25,228.80574,6.8068546e-9
4.4042564e-10,668478.06,228.36163,6.8784747e-9
4.4044618e-10,662907.6,228.61862,6.8234693e-9
4.4042567e-10,668467.6,228.35841,6.878483e-9
6.490425e-14,663063.06,23.701658,3.1523624e-11
4.4129622e-10,669199.75,228.481,6.8946524e-9
4.4150222e-10,669229.44,228.54398,6.896225e-9
2.9464552,36652.14,19999.998,1.946823e-8
9.254029e-14,663059.9,1.2692381,8.8416474e-10
9.136022e-14,661503.25,40.342667,2.7771592e-11
2.456374,44543.4,18709.117,0.021818051
1.478355e-13,664139.94,35.16573,2.6328674e-11
1.4786862e-13,665701.44,35.22641,2.6342454e-11
5.249019,41066.883,20000.0,2.2100055e-18
1.477629e-13,663013.2,35.098827,2.6327e-11
2.816677,118988.75,19997.625,4.3466945e-5
2.1951183e-13,667749.5,82.75195,2.4050083e-11
4.4229975e-10,661564.1,229.26259,6.8214456e-9
