A,B,C,D
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.7875305e-14,662440.94,17.9875,2.415892e-11
3.85904e-14,662114.06,18.146261,2.4390894e-11
3.864466e-14,662330.2,18.167822,2.4403379e-11
4.505199e-14,659688.1,28.4284,2.7374925e-11
3.863087e-14,662382.2,18.166662,2.4397893e-11
3.8945633e-14,662118.75,0.5663123,7.8262724e-10
5.4282655e-14,661160.06,30.98117,2.1409367e-11
3.87297e-14,662074.94,18.178001,2.443527e-11
3.9046752e-14,653215.8,0.5576482,7.874135e-10
8.94848e-14,662853.3,0.8510362,6.4713884e-10
3.9069073e-14,653217.94,17.967741,2.4644259e-11
5.564482e-14,661272.25,31.27022,2.1544079e-11
4.03117e-14,662203.1,18.557222,2.4922035e-11
4.03117e-14,662203.1,18.557222,2.4922035e-11
