A,B,C,D
7.039535e-14,663218.2,0.7630959,1.051452e-9
7.039535e-14,663218.2,0.7630959,1.051452e-9
9.7685206e-14,663225.0,41.845284,2.8705514e-11
4.515179,41310.832,19999.002,2.1650141e-5
31.61881,999572.2,0.029459339,0.018586515
31.61881,999572.25,0.02946939,0.018594202
8.2155074e-14,663152.0,1.201622,1.1750044e-9
1.0620763,5303.346,4291.208,0.0
1.5807727e-13,663165.6,36.329407,2.7231382e-11
7.039535e-14,663218.2,0.7630959,1.051452e-9
6.97247e-14,663095.75,24.587965,3.2658314e-11
31.518557,858924.75,19.283392,10.869564
31.617828,1.0e6,0.2959427,0.0
4.741129e-10,644402.6,238.37044,6.881286e-9
6.984939e-14,663340.06,24.627703,3.2674977e-11
0.99149793,37221.86,20000.0,0.0
31.518394,858799.5,19.312485,10.885818
9.850898,472703.25,8927.999,0.33585423
2.281848,42054.82,20000.0,2.3263613e-11
1.5877805e-13,663171.94,36.410492,2.7291768e-11
9.9501956e-14,663171.4,1.3163451,9.168056e-10
0.0,5308.482,7637.8726,14.62906
3.1407895,41719.77,18956.12,0.015611221
