state,year,error
NC,2011,2.0000000034192857
NC,2012,7.000000001170118
NC,2013,3.000000002357037
NC,2014,4.6715304292970974e-9
NC,2015,4.000000002003237
NC,2016,2.0000000034192857
NC,2017,8.000000000001924
NC,2018,10.000000000001922
ND,2011,1.0000000037730865
ND,2012,39.00000000200323
ND,2013,64.00000000000192
ND,2014,12.000000002003237
ND,2015,10.000000002003237
ND,2016,24.00000000000193
ND,2017,20.000000002003237
ND,2018,60.00000000200324
NE,2011,14.00000000366881
NE,2012,36.523978279416234
NE,2013,54.00000000000192
NE,2014,41.00000000000192
NE,2015,19.000000000001926
NE,2016,35.00000000000192
NE,2017,19.000000002003237
NE,2018,120.029622238888
NH,2011,4.671530429297099e-9
NH,2012,1.0000000037730865
NH,2013,1.0000000037730865
NH,2014,4.671530429297099e-9
NH,2015,4.671530429297098e-9
NH,2016,4.671530429297096e-9
NH,2017,4.671530429297101e-9
NH,2018,4.671530429297104e-9
NJ,2011,2.000000002357037
NJ,2012,22.000000000001926
NJ,2013,10.00000000366881
NJ,2014,5.508110319589454
NJ,2015,23.000000000001926
NJ,2016,11.000000000001922
NJ,2017,4.114521263503194
NJ,2018,39.353093954699716
NM,2011,4.000000002357037
NM,2012,24.00000000000193
NM,2013,24.000000000001922
NM,2014,19.000000002357037
NM,2015,11.000000000001922
NM,2016,5.508110171116171
NM,2017,22.000000000001926
NM,2018,5.000000002357037
NV,2011,12.000000002357037
NV,2012,5.000000002003237
NV,2013,8.000000002003237
NV,2014,3.000000002357037
NV,2015,4.000000002357037
NV,2016,13.000000000001922
NV,2017,30.000000002003237
NV,2018,3.0000000032554808
NY,2011,26.11452123964273
NY,2012,61.00000000000192
NY,2013,18.000000000001922
NY,2014,19.000000002357037
NY,2015,42.00000000000192
NY,2016,20.00000000366881
NY,2017,45.00000000000192
NY,2018,73.70613465741198
OH,2011,10.000000002357037
OH,2012,76.00000000000192
OH,2013,21.000000000001926
OH,2014,10.000000002357037
OH,2015,23.000000002003237
OH,2016,12.000000000001922
OH,2017,23.000000000001922
OH,2018,45.00000000000192
OK,2011,1.0000000021139919
OK,2012,103.00000000000192
OK,2013,60.00000000000192
OK,2014,9.000000000001924
OK,2015,48.00000000000192
OK,2016,18.67654559476854
OK,2017,29.353093717098155
OK,2018,11.000000000001922
OR,2011,4.6715304292971016e-9
OR,2012,4.671530429297102e-9
OR,2013,7.000000002003237
OR,2014,7.000000002357037
OR,2015,4.6715304292970974e-9
OR,2016,2.000000003773086
OR,2017,3.0000000034192857
OR,2018,2.000000002357037
PA,2011,5.000000002003237
PA,2012,33.00000000000192
PA,2013,5.000000003419286
PA,2014,11.000000002003237
PA,2015,17.000000000001926
PA,2016,12.000000000001922
PA,2017,15.000000000001922
PA,2018,89.41214003044641
RI,2011,1.0000000037730865
RI,2012,2.0000000032554808
RI,2013,1.0000000032554812
RI,2014,4.671530429297104e-9
RI,2015,4.671530429297098e-9
RI,2016,2.000000003773086
RI,2017,1.0000000032554812
RI,2018,4.671530429297099e-9
SC,2011,4.671530429297101e-9
SC,2012,20.000000000001926
SC,2013,3.00000000138742
SC,2014,3.0000000064580443
SC,2015,4.671530429297101e-9
SC,2016,5.000000001905026
SC,2017,16.000000000001922
SC,2018,8.916330524047744
SD,2011,4.671530429297105e-9
SD,2012,62.00000000000192
SD,2013,57.00000000200324
SD,2014,12.000000002003237
SD,2015,11.000000002003237
SD,2016,35.00000000000192
SD,2017,27.000000002003237
SD,2018,47.00000000200324
TN,2011,16.000000003668813
TN,2012,18.461728732753112
TN,2013,16.000000000001922
TN,2014,12.000000000001922
TN,2015,5.000000002901681
TN,2016,3.0000000020032367
TN,2017,21.000000000001926
TN,2018,11.000000000001922
TX,2011,19.000000000001926
TX,2012,815.23512047554
TX,2013,97.8916382379927
TX,2014,236.11892767582242
TX,2015,182.119167346021
TX,2016,173.07115888370063
TX,2017,77.76508017407757
TX,2018,108.00000000000192
UT,2011,1.0000000032554812
UT,2012,3.000000002357037
UT,2013,4.000000002357037
UT,2014,1.0000000032554812
UT,2015,5.000000002357037
UT,2016,7.000000002357037
UT,2017,39.00000000000192
UT,2018,7.000000002357037
VA,2011,8.000000002003237
VA,2012,20.000000000001926
VA,2013,6.000000002357037
VA,2014,5.000000002357037
VA,2015,13.000000000001922
VA,2016,6.000000002901681
VA,2017,12.000000000001922
VA,2018,35.030185405057495
VT,2011,1.0000000037730865
VT,2012,1.0000000037730865
VT,2013,1.0000000032554812
VT,2014,4.671530429297102e-9
VT,2015,4.671530429297096e-9
VT,2016,2.00000000431773
VT,2017,2.0000000013874204
VT,2018,1.0000000032554812
WA,2011,4.671530429297101e-9
WA,2012,4.000000003773087
WA,2013,4.671530429297108e-9
WA,2014,6.508110280747904
WA,2015,7.5081102808122075
WA,2016,8.000000002003237
WA,2017,10.00000000366881
WA,2018,2.0000000032554808
WI,2011,2.000000002357037
WI,2012,44.00000000200324
WI,2013,17.000000000001922
WI,2014,3.000000002357037
WI,2015,6.000000001176368
WI,2016,10.00000000366881
WI,2017,47.00000000000192
WI,2018,29.000000002003237
WV,2011,2.000000002357037
WV,2012,5.000000002003237
WV,2013,1.0000000037730865
WV,2014,4.6715304292970974e-9
WV,2015,4.6715304292971e-9
WV,2016,4.671530429297105e-9
WV,2017,1.0000000037730865
WV,2018,2.0000000075459456
WY,2011,1.0000000037730865
WY,2012,3.0000000020032367
WY,2013,16.000000002003237
WY,2014,4.671530429297103e-9
WY,2015,3.0000000034192857
WY,2016,7.508109819010777
WY,2017,4.000000002003237
WY,2018,3.0000000020032367
