A,B,C,D
6.335357e-14,663638.75,0.7244495,9.972925e-10
6.335357e-14,663638.75,0.7244495,9.972925e-10
8.286208,29104.137,19085.686,3.013026e-11
5.812945,35843.73,20000.0,0.0
5.599363,25623.906,7718.3257,0.0
12.919548,386945.22,19994.623,6.545828e-12
260.9565,1.0e6,586.45154,0.000985078
3.031547,41803.984,20000.0,4.9511855e-6
31.619059,1.0e6,3.0163523e-7,2.6611799e-8
31.52726,865995.75,17.697039,9.982605
4.2659426e-10,663679.94,225.24973,6.7141883e-9
1.4293559e-13,663012.3,34.513023,2.5892302e-11
426.4462,1.0e6,40.241375,0.0
3.989309,43118.605,18935.498,0.020776378
8.220379,331443.25,20000.0,9.5282965e-5
159.26102,1.0e6,1491.0337,9.792028e-16
0.0,14928.131,10880.246,19.342262
10.3578825,291120.62,20000.0,0.0
0.8144063,84.17283,19995.361,2.1164597e-5
9.318148,458097.38,9394.437,0.28354704
8.895132e-14,663018.6,39.878284,2.740299e-11
2.816667,118988.31,19997.688,4.2325948e-5
4.3020199e-10,662866.7,225.98509,6.7420753e-9
