A,B,C,D
6.24578e-14,663002.0,23.237764,3.0932177e-11
6.24578e-14,663002.0,23.237764,3.0932177e-11
4.2374557e-10,665929.4,224.05597,6.723747e-9
26.518694,34720.2,20000.0,5.8504405e-23
8.463973,41065.363,12345.121,0.02490116
27.208479,665030.0,20000.0,0.0
217.82692,994247.2,3.5238311,1.8139992
52.565105,209864.94,333.24423,0.0
23.505484,467717.7,12223.086,3.5373782e-7
4.2373713e-10,668309.56,224.03284,6.7442674e-9
7.079305,350677.0,10601.661,0.0
8.941715e-14,661444.94,1.2425256,8.659265e-10
217.9402,999967.2,0.012470144,0.00959515
14.46141,244773.1,20000.0,0.00037282397
4.573277,42564.418,19999.998,2.4316635e-10
3.7760553,41555.086,19998.9,1.9689962e-5
5.0112634,36750.285,19303.484,0.01942593
7.248569,244608.77,20000.0,2.5868362e-13
131.77136,666445.2,2410.4592,321.9048
3.5314083,114224.14,20000.0,2.4263461e-5
2.4202461,244505.98,20000.0,3.867067e-27
2.0409062,7509.0317,2127.2598,0.0
4.2825482e-10,662502.44,225.96933,6.7089663e-9
