A,B,C,D
6.799994e-14,653383.8,23.852608,3.240311e-11
4.6156187e-10,661300.9,234.02681,6.971313e-9
6.751344,35582.484,20000.0,2.9065422e-5
13.747079,38751.832,20000.0,0.0
3.5312307,114215.96,19999.998,6.4563515e-8
4.6153342e-10,668409.4,233.57785,7.0465918e-9
4.615289e-10,669590.94,233.5217,7.058573e-9
4.134165,333713.25,20000.0,1.8330442e-5
1.5963748,46346.22,20000.0,4.044879e-8
6.799994e-14,653383.8,23.852608,3.240311e-11
5.248911,41067.13,20000.0,0.0
2.4590988,48924.47,20000.0,3.5024544e-18
19.976881,55448.38,1157.2922,8.633848e-5
4.0976977,36118.547,18562.37,2.4754192e-19
4.628926e-10,662726.4,234.33295,6.9947794e-9
9.576715,35382.527,19999.998,9.339366e-16
3.4717379,31695.62,3712.7722,2.122566e-22
2.7395418,255766.55,17985.268,0.17740007
9.6155405,40262.066,20000.0,5.6170353e-11
3.803166,128058.38,20000.0,1.9390369e-5
1.5500135e-13,663142.8,35.969536,2.6963431e-11
1.5261649,42273.543,20000.0,2.1820668e-14
4.6414547e-10,665235.06,234.44363,7.0324306e-9
