A,B,C,D
6.7103854e-14,663097.25,0.7448534,1.0266632e-9
6.7103854e-14,663097.25,0.7448534,1.0266632e-9
17.682852,37189.344,20000.0,2.7404413e-23
91.35498,999783.0,275.5242,0.0035562825
1.5313463e-13,663109.5,1.1137776,8.4658197e-10
2.731157,255462.17,18031.285,0.17207724
4.507991e-10,661308.25,231.33171,6.88814e-9
2.1882381,126771.58,16715.078,0.06493403
1.1619823e-13,661333.44,101.823265,3.172516e-11
4.5079274e-10,662935.4,231.2413,6.9048043e-9
9.322071e-14,650929.4,40.18448,2.806185e-11
9.448672e-5,661530.25,1.6212479,0.7049931
4.10541,37795.457,18998.402,0.020625828
9.455223e-14,663094.3,1.2835677,8.9701907e-10
6.7306756e-14,663127.7,0.7460207,1.0281985e-9
9.3456865e-14,663123.7,40.89628,2.8087746e-11
30.656357,55411.69,351.05707,223.01756
4.617252,230657.97,20000.0,0.0
2.4028404,46738.95,20000.0,1.06558845e-13
82.13159,133660.11,199.82701,372.1402
6.673342e-14,663104.7,24.04301,3.1958415e-11
4.532416e-10,661248.8,231.9343,6.9069546e-9
2.2488486e-13,662913.3,83.38845,2.4309027e-11
